format:
number wordrootinstance numberedinstance verbclassinstance numberedinstance
848 straddle 1 contiguous_location 1
849 underlie 0 contiguous_location 1
850 get 0 get 1
851 get 2 get 1
852 save 5 get 1
853 exterminate 0 destroy 0
854 obliterate 0 destroy 0
855 shatter 0 destroy 0
856 ladle 1 funnel 1
857 warn 2 advise 0
858 warn 1 advise 0
859 warn 3 advise 0
860 label 2 dub 1
861 name 3 dub 1
862 name 2 dub 1
863 clean 20 preparing 0
864 wash 1 preparing 0
865 clear 24 preparing 1
866 cultivate 1 preparing 1
867 inscribe 2 image_impression 0
868 sign 6 image_impression 0
869 stamp 1 image_impression 0
870 dig 0 create 1
871 clear 16 clear 0
872 clear 15 clear 0
873 clear 29 clear 0
874 clear 21 clear 0
875 clear 25 clear 0
876 clean 20 clear 0
877 clean 17 clear 0
878 drain 2 clear 0
879 empty 5 clear 0
880 jam 4 spray 2
881 pack 6 spray 2
882 pack 6 spray 2
883 burn 9 hurt 2
884 cut 34 hurt 2
885 nick 3 hurt 2
886 skin 1 hurt 2
887 resound 0 sound_existence 0
888 volunteer 0 captain 0
889 join 2 mix 2
890 join 2 mix 2
891 check 16 search 0
892 check 17 search 0
893 dredge 2 search 0
894 plumb 6 search 0
895 scavenge 2 search 0
896 scour 0 search 0
897 search 0 search 0
898 sift 0 search 0
899 watch 2 search 0
900 transform 0 turn 1
901 rush 4 rush 0
902 read 4 learn 2
903 study 1 learn 2
904 learn 0 learn 2
905 compose 3 performance 2
906 produce 0 performance 2
907 take 15 performance 2
908 perform 0 performance 3
909 take 2 cost 0
910 carry 1 fit 0
911 carry 22 fit 0
912 fit 5 fit 0
913 feed 1 fit 0
914 hold 8 fit 0
915 take 9 fit 0
916 use 1 fit 0
917 hoard 0 keep 0
918 keep 11 keep 0
919 leave 6 keep 0
920 leave 2 keep 0
921 store 1 keep 0
922 abduct 0 steal 0
923 extort 2 steal 0
924 grab 2 steal 0
925 hook 3 steal 0
926 lift 11 steal 0
927 seize 1 steal 0
928 seize 1 steal 0
929 seize 2 steal 0
930 seize 0 steal 0
931 snatch 1 steal 0
932 take 17 steal 0
933 wrest 0 steal 0
934 charge 7 bill 0
935 charge 15 bill 0
936 spare 5 bill 0
937 free 6 cheat 1
